year,code,country,sex,value,highlighted
2016,NLD,Netherlands,Female,69.08769141967284,False
2017,NLD,Netherlands,Male,69.2847356659036,False
2017,NLD,Netherlands,Female,69.40493038568755,False
2018,NLD,Netherlands,Male,69.4792660892654,False
2018,NLD,Netherlands,Female,69.55664678008783,False
2019,NLD,Netherlands,Male,69.73232699863746,False
2019,NLD,Netherlands,Female,69.84168177314919,False
2020,NLD,Netherlands,Male,68.8728955722448,False
2020,NLD,Netherlands,Female,68.9536653630037,False
2021,NLD,Netherlands,Male,68.77514157796696,False
2021,NLD,Netherlands,Female,68.69300896377112,False
2022,NLD,Netherlands,Male,68.9750600145975,False
2022,NLD,Netherlands,Female,68.71697825932874,False
2023,NLD,Netherlands,Male,69.23216500949339,False
2023,NLD,Netherlands,Female,68.92399553483057,False
2000,NOR,Norway,Male,66.52574919425726,True
2000,NOR,Norway,Female,69.27171445259282,True
2001,NOR,Norway,Male,66.66598430171456,True
2001,NOR,Norway,Female,69.34129995876762,True
2002,NOR,Norway,Male,66.83136026432804,True
2002,NOR,Norway,Female,69.44208608881891,True
2003,NOR,Norway,Male,67.18239336139348,True
2003,NOR,Norway,Female,69.61273390255162,True
2004,NOR,Norway,Male,67.45269786850236,True
2004,NOR,Norway,Female,69.87152943678801,True
2005,NOR,Norway,Male,67.68663339428686,True
2005,NOR,Norway,Female,70.02942619714682,True
2006,NOR,Norway,Male,67.91342574511198,True
2006,NOR,Norway,Female,70.05045110204708,True
2007,NOR,Norway,Male,68.03637137584744,True
2007,NOR,Norway,Female,70.12261791060796,True
2008,NOR,Norway,Male,68.1879841003024,True
2008,NOR,Norway,Female,70.24283478074318,True
2009,NOR,Norway,Male,68.43605745510705,True
2009,NOR,Norway,Female,70.35672998513962,True
2010,NOR,Norway,Male,68.60801806659634,True
2010,NOR,Norway,Female,70.48608829386696,True
2011,NOR,Norway,Male,68.73324538362355,True
2011,NOR,Norway,Female,70.51916934698093,True
2012,NOR,Norway,Male,69.01131039856453,True
2012,NOR,Norway,Female,70.60874767056306,True
2013,NOR,Norway,Male,69.24362850813009,True
2013,NOR,Norway,Female,70.75402365088657,True
2014,NOR,Norway,Male,69.57450623900083,True
2014,NOR,Norway,Female,70.9528608236482,True
2015,NOR,Norway,Male,69.80042392959008,True
2015,NOR,Norway,Female,71.05167633300012,True
2016,NOR,Norway,Male,70.00851852316927,True
2016,NOR,Norway,Female,71.08230970126212,True
2017,NOR,Norway,Male,70.2295832422616,True
2017,NOR,Norway,Female,71.14784696498073,True
2018,NOR,Norway,Male,70.39549944697073,True
2018,NOR,Norway,Female,71.2060751769635,True
2019,NOR,Norway,Male,70.6496468748691,True
2019,NOR,Norway,Female,71.36016143234254,True
